Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Max Verstappen (30250363),Max Verstappen,30250363,CPT,24000,United States Grand Prix 2023,RB,35.46
D,Max Verstappen (30250343),Max Verstappen,30250343,D,16000,United States Grand Prix 2023,RB,35.46
D,Lando Norris (30250364),Lando Norris,30250364,CPT,14700,United States Grand Prix 2023,MCL,11.86
CNSTR,Red Bull Racing  (30250383),Red Bull Racing ,30250383,CNSTR,14500,United States Grand Prix 2023,RB,50.28
D,Oscar Piastri (30250365),Oscar Piastri,30250365,CPT,14400,United States Grand Prix 2023,MCL,6.51
D,Sergio Perez (30250366),Sergio Perez,30250366,CPT,14100,United States Grand Prix 2023,RB,16.69
D,Lewis Hamilton (30250367),Lewis Hamilton,30250367,CPT,13200,United States Grand Prix 2023,MERC,17.04
D,George Russell (30250368),George Russell,30250368,CPT,12900,United States Grand Prix 2023,MERC,9.21
D,Charles Leclerc (30250369),Charles Leclerc,30250369,CPT,12300,United States Grand Prix 2023,FERR,11.89
D,Carlos Sainz Jr (30250370),Carlos Sainz Jr,30250370,CPT,11400,United States Grand Prix 2023,FERR,11.61
D,Fernando Alonso (30250371),Fernando Alonso,30250371,CPT,10500,United States Grand Prix 2023,AM,16.19
D,Lando Norris (30250344),Lando Norris,30250344,D,9800,United States Grand Prix 2023,MCL,11.86
D,Oscar Piastri (30250345),Oscar Piastri,30250345,D,9600,United States Grand Prix 2023,MCL,6.51
CNSTR,McLaren  (30250384),McLaren ,30250384,CNSTR,9500,United States Grand Prix 2023,MCL,16.16
D,Sergio Perez (30250346),Sergio Perez,30250346,D,9400,United States Grand Prix 2023,RB,16.69
D,Pierre Gasly (30250372),Pierre Gasly,30250372,CPT,9000,United States Grand Prix 2023,ALPN,6
CNSTR,Mercedes AMG Motorsport  (30250385),Mercedes AMG Motorsport ,30250385,CNSTR,8900,United States Grand Prix 2023,MERC,23.9
D,Lewis Hamilton (30250347),Lewis Hamilton,30250347,D,8800,United States Grand Prix 2023,MERC,17.04
D,George Russell (30250348),George Russell,30250348,D,8600,United States Grand Prix 2023,MERC,9.21
D,Lance Stroll (30250373),Lance Stroll,30250373,CPT,8400,United States Grand Prix 2023,AM,3.88
D,Charles Leclerc (30250349),Charles Leclerc,30250349,D,8200,United States Grand Prix 2023,FERR,11.89
CNSTR,Ferrari  (30250386),Ferrari ,30250386,CNSTR,8100,United States Grand Prix 2023,FERR,20.99
D,Alexander Albon (30250374),Alexander Albon,30250374,CPT,7800,United States Grand Prix 2023,WILL,6.29
D,Carlos Sainz Jr (30250350),Carlos Sainz Jr,30250350,D,7600,United States Grand Prix 2023,FERR,11.61
D,Esteban Ocon (30250375),Esteban Ocon,30250375,CPT,7200,United States Grand Prix 2023,ALPN,5.24
D,Fernando Alonso (30250351),Fernando Alonso,30250351,D,7000,United States Grand Prix 2023,AM,16.19
D,Valtteri Bottas (30250376),Valtteri Bottas,30250376,CPT,6600,United States Grand Prix 2023,AR,4.82
D,Pierre Gasly (30250352),Pierre Gasly,30250352,D,6000,United States Grand Prix 2023,ALPN,6
D,Daniel Ricciardo (30250377),Daniel Ricciardo,30250377,CPT,6000,United States Grand Prix 2023,AT,4.5
D,Yuki Tsunoda (30250378),Yuki Tsunoda,30250378,CPT,5700,United States Grand Prix 2023,AT,4.8
D,Lance Stroll (30250353),Lance Stroll,30250353,D,5600,United States Grand Prix 2023,AM,3.88
D,Kevin Magnussen (30250379),Kevin Magnussen,30250379,CPT,5400,United States Grand Prix 2023,HAAS,3.47
D,Alexander Albon (30250354),Alexander Albon,30250354,D,5200,United States Grand Prix 2023,WILL,6.29
CNSTR,Aston Martin F1 Team  (30250387),Aston Martin F1 Team ,30250387,CNSTR,5200,United States Grand Prix 2023,AM,16.84
D,Nico Hulkenberg (30250380),Nico Hulkenberg,30250380,CPT,5100,United States Grand Prix 2023,HAAS,2.88
D,Esteban Ocon (30250355),Esteban Ocon,30250355,D,4800,United States Grand Prix 2023,ALPN,5.24
D,Guanyu Zhou (30250381),Guanyu Zhou,30250381,CPT,4800,United States Grand Prix 2023,AR,4.06
D,Logan Sargeant (30250382),Logan Sargeant,30250382,CPT,4500,United States Grand Prix 2023,WILL,1.71
D,Valtteri Bottas (30250356),Valtteri Bottas,30250356,D,4400,United States Grand Prix 2023,AR,4.82
D,Daniel Ricciardo (30250357),Daniel Ricciardo,30250357,D,4000,United States Grand Prix 2023,AT,4.5
D,Yuki Tsunoda (30250358),Yuki Tsunoda,30250358,D,3800,United States Grand Prix 2023,AT,4.8
CNSTR,Alpine F1 Team  (30250388),Alpine F1 Team ,30250388,CNSTR,3700,United States Grand Prix 2023,ALPN,8
D,Kevin Magnussen (30250359),Kevin Magnussen,30250359,D,3600,United States Grand Prix 2023,HAAS,3.47
D,Nico Hulkenberg (30250360),Nico Hulkenberg,30250360,D,3400,United States Grand Prix 2023,HAAS,2.88
D,Guanyu Zhou (30250361),Guanyu Zhou,30250361,D,3200,United States Grand Prix 2023,AR,4.06
CNSTR,Alphatauri  (30250389),Alphatauri ,30250389,CNSTR,3200,United States Grand Prix 2023,AT,1.94
CNSTR,Williams  (30250390),Williams ,30250390,CNSTR,3100,United States Grand Prix 2023,WILL,2.53
D,Logan Sargeant (30250362),Logan Sargeant,30250362,D,3000,United States Grand Prix 2023,WILL,1.71
CNSTR,Alfa Romeo Racing  (30250391),Alfa Romeo Racing ,30250391,CNSTR,3000,United States Grand Prix 2023,AR,2.94
CNSTR,Haas F1 Team  (30250392),Haas F1 Team ,30250392,CNSTR,3000,United States Grand Prix 2023,HAAS,2.06
